"Date","Time","Location","Area","Road","StartPoint","EndPoint","Temp","Humidity","ACOSD","Legend"
"2021-11-01","10:18","경기","남양주시","가운로2길","경기도 남양주시 다산동 671","경기도 남양주시 다산동 711","14","0","53","좋음"
"2021-11-01","10:43","경기","남양주시","홍유릉로","경기도 남양주시 일패동 146-2","경기도 남양주시 금곡동 434-13","14","0","32","매우좋음"
"2021-11-01","10:49","경기","남양주시","사릉로","경기도 남양주시 금곡동 428-8","경기도 남양주시 진건읍 사능리 359-12","14","0","50","매우좋음"
"2021-11-01","11:09","경기","남양주시","양지로","경기도 남양주시 오남읍 오남리 344-8","경기도 남양주시 오남읍 양지리 683-4","14","86","40","매우좋음"
"2021-11-01","11:26","경기","남양주시","금강로","경기도 남양주시 진접읍 장현리 268-9","경기도 남양주시 진접읍 장현리 2-7","15","65","15","매우좋음"
"2021-11-01","12:32","경기","남양주시","해밀예당1로","경기도 남양주시 진접읍 금곡리 1127-42","경기도 남양주시 진접읍 연평리 60-4","16","52","24","매우좋음"
"2021-11-01","12:43","경기","남양주시","해밀예당3로","경기도 남양주시 진접읍 장현리 234-1","경기도 남양주시 진접읍 금곡리 1127-117","17","50","27","매우좋음"
"2021-11-01","12:54","경기","남양주시","해밀예당2로","경기도 남양주시 진접읍 금곡리 1127-81","경기도 남양주시 진접읍 금곡리 1127-10","16","50","34","매우좋음"
"2021-11-01","13:04","경기","남양주시","양진로","경기도 남양주시 진접읍 연평리 215-2","경기도 남양주시 일패동 521-4","16","51","48","매우좋음"
"2021-11-01","13:29","경기","남양주시","경춘로","경기도 남양주시 금곡동 685-1","경기도 남양주시 평내동 129-9","16","49","29","매우좋음"
"2021-11-01","13:41","경기","남양주시","늘을1로","경기도 남양주시 평내동 124-2","경기도 남양주시 호평동 산 32-16","15","52","9","매우좋음"
"2021-11-01","13:59","경기","남양주시","맷돌로","경기도 남양주시 화도읍 마석우리 350","경기도 남양주시 화도읍 묵현리 232-8","16","51","271","매우나쁨"
"2021-11-01","14:15","경기","남양주시","호평로","경기도 남양주시 호평동 705","경기도 남양주시 호평동 709","15","51","14","매우좋음"
"2021-11-01","14:19","경기","남양주시","늘을3로","경기도 남양주시 호평동 685","경기도 남양주시 호평동 720-1","15","50","49","매우좋음"
"2021-11-01","14:28","경기","남양주시","늘을2로","경기도 남양주시 호평동 684","경기도 남양주시 평내동 660","15","51","30","매우좋음"
"2021-11-01","14:32","경기","남양주시","의안로","경기도 남양주시 평내동 647","경기도 남양주시 금곡동 산 19-7","16","50","17","매우좋음"
"2021-11-01","14:42","경기","남양주시","평내로","경기도 남양주시 평내동 419-3","경기도 남양주시 평내동 647","16","50","31","매우좋음"
"2021-11-01","15:26","경기","남양주시","청학로","경기도 남양주시 별내면 청학리 492-4","경기도 남양주시 별내면 광전리 산 76","17","48","107","보통"
"2021-11-01","15:32","경기","남양주시","송산로","경기도 남양주시 별내면 광전리 576-63","경기도 남양주시 퇴계원읍 퇴계원리 373","16","50","26","매우좋음"
"2021-11-01","15:43","경기","남양주시","경춘북로","경기도 남양주시 퇴계원읍 퇴계원리 373","경기도 남양주시 퇴계원읍 퇴계원리 318-1","16","51","8","매우좋음"
"2021-11-01","11:01","서울","강남구","압구정로","서울특별시 강남구 신사동 667-35","서울특별시 강남구 청담동 145","16","68","38","매우좋음"
"2021-11-01","11:14","서울","강남구","삼성로","서울특별시 강남구 청담동 77","서울특별시 강남구 개포동 146-2","17","63","22","매우좋음"
"2021-11-01","11:34","서울","강남구","영동대로","서울특별시 강남구 일원동 702-11","서울특별시 강남구 청담동 77-4","16","62","35","매우좋음"
"2021-11-01","11:56","서울","강남구","선릉로","서울특별시 강남구 압구정동 394","서울특별시 강남구 개포동 647","17","60","25","매우좋음"
"2021-11-01","12:29","서울","강남구","남부순환로","서울특별시 강남구 대치동 398","서울특별시 강남구 도곡동 180-50","17","60","14","매우좋음"
"2021-11-01","12:44","서울","강남구","도곡로","서울특별시 강남구 도곡동 958-2","서울특별시 강남구 대치동 1012-82","16","62","28","매우좋음"
"2021-11-01","12:58","서울","강남구","역삼로","서울특별시 강남구 대치동 995","서울특별시 강남구 역삼동 858-14","17","58","25","매우좋음"
"2021-11-01","13:43","서울","강남구","테헤란로","서울특별시 강남구 역삼동 804","서울특별시 강남구 대치동 1011","16","56","24","매우좋음"
"2021-11-01","14:02","서울","강남구","봉은사로","서울특별시 강남구 삼성동 111-8","서울특별시 강남구 역삼동 808","17","51","28","매우좋음"
"2021-11-01","14:21","서울","강남구","학동로","서울특별시 강남구 논현동 280","서울특별시 강남구 삼성동 111-185","17","51","16","매우좋음"
"2021-11-01","15:17","서울","강남구","도산대로","서울특별시 강남구 청담동 77-4","서울특별시 강남구 신사동 501-5","18","49","39","매우좋음"
"2021-11-02","10:01","경기","남양주시","별내2로","경기도 남양주시 퇴계원읍 퇴계원리 339-20","경기도 구리시 갈매동 147-27","11","0","36","매우좋음"
"2021-11-02","10:06","경기","남양주시","별내3로","경기도 구리시 갈매동 147-24","경기도 남양주시 별내동 801-2","11","0","36","매우좋음"
"2021-11-02","10:21","경기","남양주시","순화궁로","경기도 남양주시 별내동 820","경기도 남양주시 별내동 1032","12","0","51","좋음"
"2021-11-02","10:38","경기","남양주시","별내5로","경기도 남양주시 별내동 1071","경기도 남양주시 별내동 896","12","0","27","매우좋음"
"2021-11-02","11:05","경기","남양주시","별내중앙로","경기도 남양주시 별내동 1004","경기도 남양주시 별내동 1077","14","74","28","매우좋음"
"2021-11-02","12:09","경기","남양주시","별내4로","경기도 남양주시 별내동 1098-1","경기도 남양주시 별내동 1059","16","49","16","매우좋음"
"2021-11-02","12:17","경기","남양주시","불암로","경기도 구리시 갈매동 163-188","경기도 남양주시 별내동 901","16","50","22","매우좋음"
"2021-11-02","12:31","경기","남양주시","진관로","경기도 남양주시 진건읍 진관리 673-18","경기도 남양주시 다산동 6284","16","51","23","매우좋음"
"2021-11-02","12:50","경기","남양주시","가운로","경기도 남양주시 다산동 6252-3","경기도 남양주시 다산동 567-14","16","49","23","매우좋음"
"2021-11-02","12:57","경기","남양주시","도농로","경기도 남양주시 다산동 4114-7","경기도 남양주시 다산동 3584-2","16","48","22","매우좋음"
"2021-11-02","14:04","경기","파주시","숲속노을로","경기도 파주시 동패동 606-4","경기도 파주시 문발동 623","15","50","65","좋음"
"2021-11-02","14:17","경기","파주시","청석로","경기도 파주시 다율동 1003","경기도 파주시 동패동 1344-1","16","49","50","매우좋음"
"2021-11-02","14:38","경기","파주시","파주로","경기도 파주시 문발동 394-1","경기도 파주시 당하동 106-2","16","48","22","매우좋음"
"2021-11-02","14:51","경기","파주시","경의로","경기도 파주시 당하동 310-9","경기도 고양시 일산서구 덕이동 330-2","16","49","16","매우좋음"
"2021-11-02","15:22","경기","파주시","미래로","경기도 파주시 동패동 산 151-8","경기도 파주시 와동동 1305","16","48","29","매우좋음"
"2021-11-02","15:33","경기","파주시","가람로","경기도 파주시 와동동 1555","경기도 파주시 와동동 1524","16","49","31","매우좋음"
"2021-11-02","15:38","경기","파주시","가람로116번길","경기도 파주시 와동동 1487","경기도 파주시 와동동 1486","15","50","18","매우좋음"
"2021-11-02","15:42","경기","파주시","책향기로","경기도 파주시 와동동 1341","경기도 파주시 동패동 1745-8","16","49","143","보통"
"2021-11-02","16:08","경기","파주시","심학산로","경기도 파주시 동패동 1791","경기도 파주시 와동동 1403","15","48","16","매우좋음"
"2021-11-02","16:17","경기","파주시","와석순환로","경기도 파주시 와동동 1329","경기도 파주시 야당동 1020","15","48","23","매우좋음"
"2021-11-02","16:31","광주","북구","우치로","광주광역시 북구 용전동 1222-22","광주광역시 북구 중흥동 378-6","16","56","12","매우좋음"
"2021-11-02","16:55","광주","북구","동문대로","광주광역시 북구 우산동 561-1","광주광역시 북구 각화동 430-2","16","56","21","매우좋음"
"2021-11-02","17:06","광주","북구","군왕로","광주광역시 북구 각화동 428-2","광주광역시 북구 풍향동 606-1","15","57","14","매우좋음"
"2021-11-02","10:23","서울","종로구","청계천로","서울특별시 중구 태평로1가 1","서울특별시 중구 황학동 758","14","92","24","매우좋음"
"2021-11-02","10:55","서울","종로구","지봉로","","서울특별시 종로구 숭인동 5-20","15","85","51","좋음"
"2021-11-02","11:02","서울","종로구","종로","서울특별시 종로구 숭인동 1311","서울특별시 종로구 종로1가 1-3","15","81","14","매우좋음"
"2021-11-02","11:18","서울","종로구","새문안로","서울특별시 종로구 세종로 1-68","서울특별시 종로구 평동 234","15","79","6","매우좋음"
"2021-11-02","11:24","서울","종로구","통일로","서울특별시 종로구 평동 211","서울특별시 종로구 무악동 7-48","15","78","5","매우좋음"
"2021-11-02","11:44","서울","종로구","사직로","서울특별시 종로구 교북동 1-60","서울특별시 종로구 중학동 109-1","16","73","8","매우좋음"
"2021-11-02","11:51","서울","종로구","율곡로","서울특별시 종로구 중학동 34-3","서울특별시 종로구 종로6가 73-4","16","73","23","매우좋음"
"2021-11-02","12:07","서울","종로구","대학로","서울특별시 종로구 종로5가 82-1","서울특별시 종로구 혜화동 90-14","16","73","6","매우좋음"
"2021-11-02","12:11","서울","종로구","창경궁로","서울특별시 종로구 혜화동 120","서울특별시 종로구 원남동 152-2","16","72","5","매우좋음"
"2021-11-02","12:19","서울","종로구","삼일대로","서울특별시 종로구 종로2가 34-2","서울특별시 종로구 경운동 95-1","16","73","10","매우좋음"
"2021-11-02","12:30","서울","종로구","창의문로","서울특별시 종로구 궁정동 98-10","서울특별시 종로구 부암동 265-6","16","73","4","매우좋음"
"2021-11-02","12:41","서울","종로구","효자로","서울특별시 종로구 궁정동 15","서울특별시 종로구 세종로 2-4","16","72","29","매우좋음"
"2021-11-02","12:44","서울","종로구","자하문로","서울특별시 종로구 적선동 106","서울특별시 종로구 부암동 145-2","16","71","7","매우좋음"
"2021-11-02","13:42","서울","종로구","평창문화로","서울특별시 종로구 평창동 2-15","서울특별시 종로구 신영동 29-11","17","63","4","매우좋음"
"2021-11-02","13:46","서울","종로구","진흥로","서울특별시 종로구 신영동 20-1","서울특별시 종로구 구기동 120-1","17","63","5","매우좋음"
"2021-11-02","14:58","인천","부평구","부일로","인천광역시 부평구 부개동 495-1","인천광역시 부평구 부평동 589","16","64","26","매우좋음"
"2021-11-02","15:05","인천","부평구","대정로","인천광역시 부평구 부평동 589","인천광역시 부평구 부평동 126-10","17","67","13","매우좋음"
"2021-11-02","15:14","인천","부평구","부흥로","인천광역시 부평구 부평동 70-16","인천광역시 부평구 부개동 509","16","68","18","매우좋음"
"2021-11-02","15:23","인천","부평구","부개로","인천광역시 부평구 부개동 509","인천광역시 부평구 부개동 504","16","71","26","매우좋음"
"2021-11-02","15:29","인천","부평구","길주로","인천광역시 부평구 삼산동 466","인천광역시 부평구 산곡동 97-1","16","69","9","매우좋음"
"2021-11-02","15:45","인천","부평구","원적로","인천광역시 부평구 산곡동 산 98-26","인천광역시 부평구 부평동 38-130","15","74","40","매우좋음"
"2021-11-02","15:59","인천","부평구","주부토로","인천광역시 부평구 부평동 431-40","인천광역시 부평구 갈산동 120-7","15","74","30","매우좋음"
"2021-11-02","16:16","인천","부평구","굴포로","인천광역시 부평구 갈산동 192-1","인천광역시 부평구 삼산동 452","15","75","15","매우좋음"
"2021-11-02","16:28","인천","부평구","부평북로","인천광역시 부평구 삼산동 395-3","인천광역시 부평구 청천동 388","15","77","17","매우좋음"
"2021-11-02","10:38","서울","강남구","언주로","서울특별시 강남구 개포동 647-9","서울특별시 강남구 신사동 668-7","15","84","15","매우좋음"
"2021-11-02","11:13","서울","강남구","논현로","서울특별시 강남구 신사동 668","서울특별시 서초구 양재동 403","16","71","5","매우좋음"
"2021-11-02","11:47","서울","강남구","개포로","서울특별시 서초구 양재동 261-24","서울특별시 강남구 일원동 474-1","15","74","9","매우좋음"
"2021-11-02","12:04","서울","강남구","광평로","서울특별시 강남구 개포동 146-5","서울특별시 강남구 수서동 740","15","73","7","매우좋음"
"2021-11-02","12:11","서울","강남구","밤고개로","서울특별시 강남구 수서동 728","서울특별시 강남구 세곡동 122-14","16","68","5","매우좋음"
"2021-11-02","12:30","서울","강남구","헌릉로","서울특별시 송파구 장지동 738-9","서울특별시 서초구 내곡동 산 12-441","17","65","6","매우좋음"
"2021-11-02","12:43","서울","강남구","자곡로","서울특별시 강남구 세곡동 389-5","서울특별시 강남구 자곡동 32-7","15","67","17","매우좋음"
"2021-11-02","12:52","서울","강남구","밤고개로21길","서울특별시 강남구 율현동 539","서울특별시 강남구 율현동 529","16","64","19","매우좋음"
"2021-11-02","13:06","서울","강남구","일원로","서울특별시 강남구 일원동 734-2","서울특별시 강남구 일원동 705-5","16","65","7","매우좋음"
"2021-11-02","14:33","서울","동작구","장승배기로","서울특별시 동작구 노량진동 60-11","서울특별시 동작구 상도동 208-4","17","56","58","좋음"
"2021-11-02","14:50","서울","동작구","상도로","서울특별시 동작구 대방동 466-51","서울특별시 동작구 상도동 124-11","17","56","12","매우좋음"
"2021-11-02","15:15","서울","동작구","사당로","서울특별시 동작구 상도동 514","서울특별시 동작구 사당동 144-4","17","57","15","매우좋음"
"2021-11-02","15:43","서울","동작구","남부순환로","서울특별시 관악구 봉천동 1693-39","서울특별시 관악구 남현동 1130-1","17","54","8","매우좋음"
"2021-11-02","15:47","서울","동작구","동작대로","서울특별시 서초구 방배동 504-1","서울특별시 서초구 방배동 752-38","17","54","7","매우좋음"
"2021-11-02","15:58","서울","동작구","현충로","서울특별시 동작구 동작동 126-12","서울특별시 동작구 본동 475-1","17","57","8","매우좋음"
"2021-11-02","11:41","경기","용인시 수지구","수지로","경기도 용인시 수지구 상현동 790-18","경기도 용인시 수지구 동천동 904","15","77","13","매우좋음"
"2021-11-02","11:57","경기","용인시 수지구","신수로","경기도 용인시 수지구 동천동 213-1","경기도 용인시 수지구 풍덕천동 962","15","79","9","매우좋음"
"2021-11-02","12:01","경기","용인시 기흥구","신수로","경기도 용인시 기흥구 보정동 312-9","경기도 용인시 기흥구 보정동 1019-823","16","74","7","매우좋음"
"2021-11-02","12:15","경기","용인시 기흥구","용구대로","경기도 용인시 기흥구 신갈동 123-2","경기도 용인시 기흥구 보정동 213-13","16","72","12","매우좋음"
"2021-11-02","12:29","경기","용인시 수지구","용구대로","경기도 용인시 기흥구 보정동 1339","경기도 용인시 수지구 죽전동 921","15","74","14","매우좋음"
"2021-11-02","12:37","경기","용인시 수지구","현암로","경기도 용인시 수지구 죽전동 885-1","경기도 용인시 수지구 죽전동 1398","16","72","25","매우좋음"
"2021-11-02","12:47","경기","용인시 수지구","죽전로","경기도 용인시 수지구 죽전동 1397","경기도 용인시 기흥구 보정동 1353","16","73","10","매우좋음"
"2021-11-02","13:00","경기","용인시 기흥구","보정로","경기도 용인시 기흥구 보정동 1361","경기도 용인시 기흥구 보정동 1361","15","75","16","매우좋음"
"2021-11-02","13:08","경기","용인시 수지구","포은대로","경기도 용인시 수지구 죽전동 1003-428","경기도 용인시 수지구 상현동 352-1","16","68","14","매우좋음"
"2021-11-02","13:18","경기","용인시 수지구","상현로","경기도 용인시 수지구 상현동 790-18","경기도 용인시 수지구 상현동 79-6","16","68","8","매우좋음"
"2021-11-02","13:31","경기","용인시 수지구","만현로","경기도 용인시 수지구 상현동 250-1","경기도 용인시 수지구 풍덕천동 1125-1","16","68","10","매우좋음"
"2021-11-02","13:36","경기","용인시 수지구","정평로","경기도 용인시 수지구 풍덕천동 1114","경기도 용인시 수지구 풍덕천동 781","16","66","91","좋음"
"2021-11-02","13:50","경기","용인시 수지구","수풍로","경기도 용인시 수지구 풍덕천동 772","경기도 용인시 수지구 동천동 890","16","64","38","매우좋음"
"2021-11-02","14:04","경기","용인시 수지구","동천로","경기도 용인시 수지구 동천동 200-7","경기도 용인시 수지구 동천동 957","16","64","28","매우좋음"
"2021-11-02","14:15","경기","용인시 수지구","손곡로","경기도 용인시 수지구 동천동 933","경기도 용인시 수지구 동천동 857-6","16","64","37","매우좋음"
"2021-11-02","14:53","경기","용인시 수지구","풍덕천로","경기도 용인시 수지구 풍덕천동 789","경기도 용인시 수지구 풍덕천동 1045","18","57","19","매우좋음"
"2021-11-02","15:03","경기","용인시 수지구","신봉1로","경기도 용인시 수지구 풍덕천동 1011","경기도 용인시 수지구 신봉동 1004","16","63","18","매우좋음"
"2021-11-02","15:12","경기","용인시 수지구","신봉2로","경기도 용인시 수지구 신봉동 996","경기도 용인시 수지구 신봉동 31-9","16","63","11","매우좋음"
"2021-11-02","15:22","경기","용인시 수지구","도마치로","경기도 용인시 수지구 신봉동 1004","경기도 용인시 수지구 성복동 703-1","16","60","34","매우좋음"
"2021-11-02","15:27","경기","용인시 수지구","성복2로","경기도 용인시 수지구 성복동 410-2","경기도 용인시 수지구 성복동 74-9","16","62","12","매우좋음"
"2021-11-02","15:36","경기","용인시 수지구","성복1로","경기도 용인시 수지구 상현동 102-12","경기도 용인시 수지구 성복동 700-1","16","61","25","매우좋음"
"2021-11-02","15:30","세종","-","한누리대로","세종특별자치시 소담동 831","세종특별자치시 도담동 402","17","48","6","매우좋음"
"2021-11-03","10:00","경기","파주시","충현로","경기도 파주시 파주읍 봉서리 368-8","경기도 파주시 문산읍 선유리 1381","9","0","28","매우좋음"
"2021-11-03","10:04","경기","파주시","돈유3로","경기도 파주시 문산읍 선유리 1381","경기도 파주시 문산읍 선유리 1385","10","0","36","매우좋음"
"2021-11-03","10:06","경기","파주시","돈유2로","경기도 파주시 문산읍 선유리 1385","경기도 파주시 문산읍 선유리 1382","10","0","69","좋음"
"2021-11-03","10:12","경기","파주시","돈유로","경기도 파주시 문산읍 선유리 1384","경기도 파주시 파주읍 향양리 709-2","10","0","28","매우좋음"
"2021-11-03","10:18","경기","파주시","우계로","경기도 파주시 파주읍 향양리 634-4","경기도 파주시 문산읍 선유리 966-40","11","0","47","매우좋음"
"2021-11-03","10:31","경기","파주시","당동2로","경기도 파주시 문산읍 당동리 934","경기도 파주시 문산읍 당동리 500-9","11","0","29","매우좋음"
"2021-11-03","10:43","경기","파주시","서영로","경기도 파주시 문산읍 내포리 산 19-3","경기도 파주시 월롱면 덕은리 772-13","12","0","30","매우좋음"
"2021-11-03","10:50","경기","파주시","엘씨디로","경기도 파주시 월롱면 덕은리 1232","경기도 파주시 월롱면 덕은리 555-4","12","0","17","매우좋음"
"2021-11-03","11:09","경기","파주시","엘지로","경기도 파주시 월롱면 덕은리 33","경기도 파주시 탄현면 금승리 185-16","13","80","35","매우좋음"
"2021-11-03","11:57","경기","파주시","헤이리로","경기도 파주시 탄현면 금산리 39-6","경기도 파주시 탄현면 성동리 639","14","51","60","좋음"
"2021-11-03","12:06","경기","파주시","필승로","경기도 파주시 탄현면 성동리 639","경기도 파주시 탄현면 법흥리 1782","14","49","38","매우좋음"
"2021-11-03","12:34","경기","파주시","약산로","경기도 파주시 탄현면 법흥리 1603","경기도 파주시 탄현면 법흥리 1603","16","35","39","매우좋음"
"2021-11-03","12:37","경기","파주시","법흥로","경기도 파주시 탄현면 법흥리 1603","경기도 파주시 탄현면 법흥리 1650","15","34","6","매우좋음"
"2021-11-03","12:44","경기","파주시","성동로","경기도 파주시 탄현면 법흥리 1782","경기도 파주시 탄현면 성동리 642","15","36","17","매우좋음"
"2021-11-03","12:50","경기","파주시","얼음실로","경기도 파주시 탄현면 법흥리 1643","경기도 파주시 탄현면 법흥리 1647","15","41","10","매우좋음"
"2021-11-03","12:55","경기","파주시","평화로","경기도 파주시 탄현면 성동리 639","경기도 파주시 금촌동 962-22","16","41","11","매우좋음"
"2021-11-03","13:16","경기","파주시","시청로","경기도 파주시 금촌동 962-22","경기도 파주시 금촌동 466-141","16","43","12","매우좋음"
"2021-11-03","13:27","경기","파주시","중앙로","경기도 파주시 금촌동 369-2","경기도 파주시 조리읍 등원리 374-7","17","43","12","매우좋음"
"2021-11-03","13:43","경기","파주시","학령로","경기도 파주시 아동동 49-1","경기도 파주시 금릉동 176-4","17","42","7","매우좋음"
